Price,Location,Area,Amenities,BHK
₹3.91 Cr,"Parel, Mumbai - South Mumbai, Maharashtra",826sqft,"Park,Kids play area,Gymnasium,Air Conditioned,",2 BHK
₹1.99 Cr,"Malad West, Mumbai - Western Mumbai, Maharashtra",765sqft,"Reserved Parking,Lift,Piped Gas,Park,Gymnasium,Swimming Pool,",2 BHK
